czas:	0.0002
#promien     #dlugosc     #T
0    0    37
5e-005    0    37
0.0001    0    37
0.00015    0    37
0.0002    0    37
0.00025    0    37
0.0003    0    37
0.00035    0    37
0.0004    0    37
0.00045    0    37
0.0005    0    37
0.00055    0    37
0.0006    0    37
0.00065    0    37
0.0007    0    37
0.00075    0    37
0.0008    0    37
0.00085    0    37
0.0009    0    37
0.00095    0    37
0.001    0    37

0    5e-005    37
5e-005    5e-005    37
0.0001    5e-005    37
0.00015    5e-005    37
0.0002    5e-005    37
0.00025    5e-005    37
0.0003    5e-005    37
0.00035    5e-005    37
0.0004    5e-005    37
0.00045    5e-005    37
0.0005    5e-005    37
0.00055    5e-005    37
0.0006    5e-005    37
0.00065    5e-005    37
0.0007    5e-005    37
0.00075    5e-005    37
0.0008    5e-005    37
0.00085    5e-005    37
0.0009    5e-005    37
0.00095    5e-005    37
0.001    5e-005    37

0    0.0001    37
5e-005    0.0001    37
0.0001    0.0001    37
0.00015    0.0001    37
0.0002    0.0001    37
0.00025    0.0001    37
0.0003    0.0001    37
0.00035    0.0001    37
0.0004    0.0001    37
0.00045    0.0001    37
0.0005    0.0001    37
0.00055    0.0001    37
0.0006    0.0001    37
0.00065    0.0001    37
0.0007    0.0001    37
0.00075    0.0001    37
0.0008    0.0001    37
0.00085    0.0001    37
0.0009    0.0001    37
0.00095    0.0001    37
0.001    0.0001    37

0    0.00015    37
5e-005    0.00015    37
0.0001    0.00015    37
0.00015    0.00015    37
0.0002    0.00015    37
0.00025    0.00015    37
0.0003    0.00015    37
0.00035    0.00015    37
0.0004    0.00015    37
0.00045    0.00015    37
0.0005    0.00015    37
0.00055    0.00015    37
0.0006    0.00015    37
0.00065    0.00015    37
0.0007    0.00015    37
0.00075    0.00015    37
0.0008    0.00015    37
0.00085    0.00015    37
0.0009    0.00015    37
0.00095    0.00015    37
0.001    0.00015    37

0    0.0002    37
5e-005    0.0002    37
0.0001    0.0002    37
0.00015    0.0002    37
0.0002    0.0002    37
0.00025    0.0002    37
0.0003    0.0002    37
0.00035    0.0002    37
0.0004    0.0002    37
0.00045    0.0002    37
0.0005    0.0002    37
0.00055    0.0002    37
0.0006    0.0002    37
0.00065    0.0002    37
0.0007    0.0002    37
0.00075    0.0002    37
0.0008    0.0002    37
0.00085    0.0002    37
0.0009    0.0002    37
0.00095    0.0002    37
0.001    0.0002    37

0    0.00025    37
5e-005    0.00025    37
0.0001    0.00025    37
0.00015    0.00025    37
0.0002    0.00025    37
0.00025    0.00025    37
0.0003    0.00025    37
0.00035    0.00025    37
0.0004    0.00025    37
0.00045    0.00025    37
0.0005    0.00025    37
0.00055    0.00025    37
0.0006    0.00025    37
0.00065    0.00025    37
0.0007    0.00025    37
0.00075    0.00025    37
0.0008    0.00025    37
0.00085    0.00025    37
0.0009    0.00025    37
0.00095    0.00025    37
0.001    0.00025    37

0    0.0003    37
5e-005    0.0003    37
0.0001    0.0003    37
0.00015    0.0003    37
0.0002    0.0003    37
0.00025    0.0003    37
0.0003    0.0003    37
0.00035    0.0003    37
0.0004    0.0003    37
0.00045    0.0003    37
0.0005    0.0003    37
0.00055    0.0003    37
0.0006    0.0003    37
0.00065    0.0003    37
0.0007    0.0003    37
0.00075    0.0003    37
0.0008    0.0003    37
0.00085    0.0003    37
0.0009    0.0003    37
0.00095    0.0003    37
0.001    0.0003    37

0    0.00035    37
5e-005    0.00035    37
0.0001    0.00035    37
0.00015    0.00035    37
0.0002    0.00035    37
0.00025    0.00035    37
0.0003    0.00035    37
0.00035    0.00035    37
0.0004    0.00035    37
0.00045    0.00035    37
0.0005    0.00035    37
0.00055    0.00035    37
0.0006    0.00035    37
0.00065    0.00035    37
0.0007    0.00035    37
0.00075    0.00035    37
0.0008    0.00035    37
0.00085    0.00035    37
0.0009    0.00035    37
0.00095    0.00035    37
0.001    0.00035    37

0    0.0004    37
5e-005    0.0004    37
0.0001    0.0004    37
0.00015    0.0004    37
0.0002    0.0004    37
0.00025    0.0004    37
0.0003    0.0004    37
0.00035    0.0004    37
