czas:	120.003
#promien     #dlugosc     #T
0    0    244.848
3.75e-05    0    244.848
7.5e-05    0    244.848
0.0001125    0    244.848
0.00015    0    244.848
0.0001875    0    244.848
0.000225    0    244.848
0.0002625    0    244.848
0.0003    0    244.848
0.0003375    0    244.848
0.000375    0    244.848
0.0004125    0    244.848
0.00045    0    244.848
0.0004875    0    244.848
0.000525    0    244.848
0.0005625    0    244.848
0.0006    0    244.848
0.0006375    0    244.848
0.000675    0    244.848
0.0007125    0    244.848
0.00075    0    244.848
0.0007875    0    244.848
0.000825    0    244.848
0.0008625    0    244.848
0.0009    0    244.848
0.0009375    0    244.848
0.000975    0    244.848
0.0010125    0    244.848
0.00105    0    244.847
0.0010875    0    244.842
0.001125    0    244.827
0.0011625    0    244.779
0.0012    0    244.643
0.0012375    0    244.29
0.001275    0    243.449
0.0013125    0    241.601
0.00135    0    237.837
0.0013875    0    230.702
0.001425    0    218.049
0.0014625    0    196.955
0.0015    0    163.703
0.0015375    0    113.814
0.001575    0    81.3717
0.0016125    0    61.2914
0.00165    0    49.5408
0.0016875    0    43.0766
0.001725    0    39.7507
0.0017625    0    38.1578
0.0018    0    37.451
0.0018375    0    37.1618
0.001875    0    37.0532
0.0019125    0    37.0159
0.00195    0    37.0043
0.0019875    0    37.0011
0.002025    0    37.0002
0.0020625    0    37.0001
0.0021    0    37
0.0021375    0    37
0.002175    0    37
0.0022125    0    37
0.00225    0    37
0.0022875    0    37
0.002325    0    37
0.0023625    0    37
0.0024    0    37
0.0024375    0    37
0.002475    0    37
0.0025125    0    37
0.00255    0    37
0.0025875    0    37
0.002625    0    37
0.0026625    0    37
0.0027    0    37
0.0027375    0    37
0.002775    0    37
0.0028125    0    37
0.00285    0    37
0.0028875    0    37
0.002925    0    37
0.0029625    0    37
0.003    0    37
0.0030375    0    37
0.003075    0    37
0.0031125    0    37
0.00315    0    37
0.0031875    0    37
0.003225    0    37
0.0032625    0    37
0.0033    0    37
0.0033375    0    37
0.003375    0    37
0.0034125    0    37
0.00345    0    37
0.0034875    0    37
0.003525    0    37
0.0035625    0    37
0.0036    0    37
0.0036375    0    37
0.003675    0    37
0.0037125    0    37
0.00375    0    37
0.0037875    0    37
0.003825    0    37
0.0038625    0    37
0.0039    0    37
0.0039375    0    37
0.003975    0    37
0.0040125    0    37
0.00405    0    37
0.0040875    0    37
0.004125    0    37
0.0041625    0    37
0.0042    0    37
0.0042375    0    37
0.004275    0    37
0.0043125    0    37
0.00435    0    37
0.0043875    0    37
0.004425    0    37
0.0044625    0    37
0.0045    0    37

0    3.75e-05    244.848
3.75e-05    3.75e-05    244.848
7.5e-05    3.75e-05    244.848
0.0001125    3.75e-05    244.848
0.00015    3.75e-05    244.848
0.0001875    3.75e-05    244.848
0.000225    3.75e-05    244.848
0.0002625    3.75e-05    244.848
0.0003    3.75e-05    244.848
0.0003375    3.75e-05    244.848
0.000375    3.75e-05    244.848
0.0004125    3.75e-05    244.848
0.00045    3.75e-05    244.848
0.0004875    3.75e-05    244.848
0.000525    3.75e-05    244.848
0.0005625    3.75e-05    244.848
0.0006    3.75e-05    244.848
0.0006375    3.75e-05    244.848
0.000675    3.75e-05    244.848
0.0007125    3.75e-05    244.848
0.00075    3.75e-05    244.848
0.0007875    3.75e-05    244.848
0.000825    3.75e-05    244.848
0.0008625    3.75e-05    244.848
0.0009    3.75e-05    244.848
0.0009375    3.75e-05    244.848
0.000975    3.75e-05    244.848
0.0010125    3.75e-05    244.848
0.00105    3.75e-05    244.847
0.0010875    3.75e-05    244.842
0.001125    3.75e-05    244.827
0.0011625    3.75e-05    244.779
0.0012    3.75e-05    244.643
0.0012375    3.75e-05    244.29
0.001275    3.75e-05    243.449
0.0013125    3.75e-05    241.601
0.00135    3.75e-05    237.837
0.0013875    3.75e-05    230.702
0.001425    3.75e-05    218.049
0.0014625    3.75e-05    196.955
0.0015    3.75e-05    163.703
0.0015375    3.75e-05    113.814
0.001575    3.75e-05    81.3717
0.0016125    3.75e-05    61.2914
0.00165    3.75e-05    49.5408
0.0016875    3.75e-05    43.0766
0.001725    3.75e-05    39.7507
0.0017625    3.75e-05    38.1578
0.0018    3.75e-05    37.451
0.0018375    3.75e-05    37.1618
0.001875    3.75e-05    37.0532
0.0019125    3.75e-05    37.0159
0.00195    3.75e-05    37.0043
0.0019875    3.75e-05    37.0011
0.002025    3.75e-05    37.0002
0.0020625    3.75e-05    37.0001
0.0021    3.75e-05    37
0.0021375    3.75e-05    37
0.002175    3.75e-05    37
0.0022125    3.75e-05    37
0.00225    3.75e-05    37
0.0022875    3.75e-05    37
0.002325    3.75e-05    37
0.0023625    3.75e-05    37
0.0024    3.75e-05    37
0.0024375    3.75e-05    37
0.002475    3.75e-05    37
0.0025125    3.75e-05    37
0.00255    3.75e-05    37
0.0025875    3.75e-05    37
0.002625    3.75e-05    37
0.0026625    3.75e-05    37
0.0027    3.75e-05    37
0.0027375    3.75e-05    37
0.002775    3.75e-05    37
0.0028125    3.75e-05    37
0.00285    3.75e-05    37
0.0028875    3.75e-05    37
0.002925    3.75e-05    37
0.0029625    3.75e-05    37
0.003    3.75e-05    37
0.0030375    3.75e-05    37
0.003075    3.75e-05    37
0.0031125    3.75e-05    37
0.00315    3.75e-05    37
0.0031875    3.75e-05    37
0.003225    3.75e-05    37
0.0032625    3.75e-05    37
0.0033    3.75e-05    37
0.0033375    3.75e-05    37
0.003375    3.75e-05    37
0.0034125    3.75e-05    37
0.00345    3.75e-05    37
0.0034875    3.75e-05    37
0.003525    3.75e-05    37
0.0035625    3.75e-05    37
0.0036    3.75e-05    37
0.0036375    3.75e-05    37
0.003675    3.75e-05    37
0.0037125    3.75e-05    37
0.00375    3.75e-05    37
0.0037875    3.75e-05    37
0.003825    3.75e-05    37
0.0038625    3.75e-05    37
0.0039    3.75e-05    37
0.0039375    3.75e-05    37
0.003975    3.75e-05    37
0.0040125    3.75e-05    37
0.00405    3.75e-05    37
0.0040875    3.75e-05    37
0.004125    3.75e-05    37
0.0041625    3.75e-05    37
0.0042    3.75e-05    37
0.0042375    3.75e-05    37
0.004275    3.75e-05    37
0.0043125    3.75e-05    37
0.00435    3.75e-05    37
0.0043875    3.75e-05    37
0.004425    3.75e-05    37
0.0044625    3.75e-05    37
0.0045    3.75e-05    37

0    7.5e-05    239.05
3.75e-05    7.5e-05    239.05
7.5e-05    7.5e-05    239.05
0.0001125    7.5e-05    239.05
0.00015    7.5e-05    239.05
0.0001875    7.5e-05    239.05
0.000225    7.5e-05    239.05
0.0002625    7.5e-05    239.05
0.0003    7.5e-05    239.05
0.0003375    7.5e-05    239.05
0.000375    7.5e-05    239.05
0.0004125    7.5e-05    239.05
0.00045    7.5e-05    239.05
0.0004875    7.5e-05    239.05
0.000525    7.5e-05    239.05
0.0005625    7.5e-05    239.05
0.0006    7.5e-05    239.05
0.0006375    7.5e-05    239.05
0.000675    7.5e-05    239.05
0.0007125    7.5e-05    239.05
0.00075    7.5e-05    239.05
0.0007875    7.5e-05    239.05
0.000825    7.5e-05    239.05
0.0008625    7.5e-05    239.05
0.0009    7.5e-05    239.05
0.0009375    7.5e-05    239.05
0.000975    7.5e-05    239.05
0.0010125    7.5e-05    239.05
0.00105    7.5e-05    239.048
0.0010875    7.5e-05    239.044
0.001125    7.5e-05    239.029
0.0011625    7.5e-05    238.982
0.0012    7.5e-05    238.849
0.0012375    7.5e-05    238.502
0.001275    7.5e-05    237.678
0.0013125    7.5e-05    235.865
0.00135    7.5e-05    232.177
0.0013875    7.5e-05    225.191
0.001425    7.5e-05    212.82
0.0014625    7.5e-05    192.245
0.0015    7.5e-05    159.947
0.0015375    7.5e-05    111.872
0.001575    7.5e-05    80.3603
0.0016125    7.5e-05    60.7745
0.00165    7.5e-05    49.2859
0.0016875    7.5e-05    42.9568
0.001725    7.5e-05    39.6975
0.0017625    7.5e-05    38.1357
0.0018    7.5e-05    37.4424
0.0018375    7.5e-05    37.1587
0.001875    7.5e-05    37.0521
0.0019125    7.5e-05    37.0156
0.00195    7.5e-05    37.0042
0.0019875    7.5e-05    37.001
0.002025    7.5e-05    37.0002
0.0020625    7.5e-05    37.0001
0.0021    7.5e-05    37
0.0021375    7.5e-05    37
0.002175    7.5e-05    37
0.0022125    7.5e-05    37
0.00225    7.5e-05    37
0.0022875    7.5e-05    37
0.002325    7.5e-05    37
0.0023625    7.5e-05    37
0.0024    7.5e-05    37
0.0024375    7.5e-05    37
0.002475    7.5e-05    37
0.0025125    7.5e-05    37
0.00255    7.5e-05    37
0.0025875    7.5e-05    37
0.002625    7.5e-05    37
0.0026625    7.5e-05    37
0.0027    7.5e-05    37
0.0027375    7.5e-05    37
0.002775    7.5e-05    37
0.0028125    7.5e-05    37
0.00285    7.5e-05    37
0.0028875    7.5e-05    37
0.002925    7.5e-05    37
0.0029625    7.5e-05    37
0.003    7.5e-05    37
0.0030375    7.5e-05    37
0.003075    7.5e-05    37
0.0031125    7.5e-05    37
0.00315    7.5e-05    37
0.0031875    7.5e-05    37
0.003225    7.5e-05    37
0.0032625    7.5e-05    37
0.0033    7.5e-05    37
0.0033375    7.5e-05    37
0.003375    7.5e-05    37
0.0034125    7.5e-05    37
0.00345    7.5e-05    37
0.0034875    7.5e-05    37
0.003525    7.5e-05    37
0.0035625    7.5e-05    37
0.0036    7.5e-05    37
0.0036375    7.5e-05    37
0.003675    7.5e-05    37
0.0037125    7.5e-05    37
0.00375    7.5e-05    37
0.0037875    7.5e-05    37
0.003825    7.5e-05    37
0.0038625    7.5e-05    37
0.0039    7.5e-05    37
0.0039375    7.5e-05    37
0.003975    7.5e-05    37
0.0040125    7.5e-05    37
0.00405    7.5e-05    37
0.0040875    7.5e-05    37
0.004125    7.5e-05    37
0.0041625    7.5e-05    37
0.0042    7.5e-05    37
0.0042375    7.5e-05    37
0.004275    7.5e-05    37
0.0043125    7.5e-05    37
0.00435    7.5e-05    37
0.0043875    7.5e-05    37
0.004425    7.5e-05    37
0.0044625    7.5e-05    37
0.0045    7.5e-05    37

0    0.0001125    229.815
3.75e-05    0.0001125    229.815
7.5e-05    0.0001125    229.815
0.0001125    0.0001125    229.815
0.00015    0.0001125    229.815
0.0001875    0.0001125    229.815
0.000225    0.0001125    229.815
0.0002625    0.0001125    229.815
0.0003    0.0001125    229.815
0.0003375    0.0001125    229.815
0.000375    0.0001125    229.815
0.0004125    0.0001125    229.815
0.00045    0.0001125    229.815
0.0004875    0.0001125    229.815
0.000525    0.0001125    229.815
0.0005625    0.0001125    229.815
0.0006    0.0001125    229.815
0.0006375    0.0001125    229.815
0.000675    0.0001125    229.815
0.0007125    0.0001125    229.815
0.00075    0.0001125    229.815
0.0007875    0.0001125    229.815
0.000825    0.0001125    229.815
0.0008625    0.0001125    229.815
0.0009    0.0001125    229.815
0.0009375    0.0001125    229.815
0.000975    0.0001125    229.815
0.0010125    0.0001125    229.815
0.00105    0.0001125    229.814
0.0010875    0.0001125    229.809
0.001125    0.0001125    229.795
0.0011625    0.0001125    229.75
0.0012    0.0001125    229.621
0.0012375    0.0001125    229.287
0.001275    0.0001125    228.492
0.0013125    0.0001125    226.746
0.00135    0.0001125    223.195
0.0013875    0.0001125    216.478
0.001425    0.0001125    204.605
0.0014625    0.0001125    184.916
0.0015    0.0001125    154.142
0.0015375    0.0001125    108.617
0.001575    0.0001125    78.5913
0.0016125    0.0001125    59.8491
0.00165    0.0001125    48.8235
0.0016875    0.0001125    42.7376
0.001725    0.0001125    39.5996
0.0017625    0.0001125    38.0948
0.0018    0.0001125    37.4265
0.0018375    0.0001125    37.153
0.001875    0.0001125    37.0502
0.0019125    0.0001125    37.015
0.00195    0.0001125    37.0041
0.0019875    0.0001125    37.001
0.002025    0.0001125    37.0002
0.0020625    0.0001125    37
0.0021    0.0001125    37
0.0021375    0.0001125    37
0.002175    0.0001125    37
0.0022125    0.0001125    37
0.00225    0.0001125    37
0.0022875    0.0001125    37
0.002325    0.0001125    37
0.0023625    0.0001125    37
0.0024    0.0001125    37
0.0024375    0.0001125    37
0.002475    0.0001125    37
0.0025125    0.0001125    37
0.00255    0.0001125    37
0.0025875    0.0001125    37
0.002625    0.0001125    37
0.0026625    0.0001125    37
0.0027    0.0001125    37
0.0027375    0.0001125    37
0.002775    0.0001125    37
0.0028125    0.0001125    37
0.00285    0.0001125    37
0.0028875    0.0001125    37
0.002925    0.0001125    37
0.0029625    0.0001125    37
0.003    0.0001125    37
0.0030375    0.0001125    37
0.003075    0.0001125    37
0.0031125    0.0001125    37
0.00315    0.0001125    37
0.0031875    0.0001125    37
0.003225    0.0001125    37
0.0032625    0.0001125    37
0.0033    0.0001125    37
0.0033375    0.0001125    37
0.003375    0.0001125    37
0.0034125    0.0001125    37
0.00345    0.0001125    37
0.0034875    0.0001125    37
0.003525    0.0001125    37
0.0035625    0.0001125    37
0.0036    0.0001125    37
0.0036375    0.0001125    37
0.003675    0.0001125    37
0.0037125    0.0001125    37
0.00375    0.0001125    37
0.0037875    0.0001125    37
0.003825    0.0001125    37
0.0038625    0.0001125    37
0.0039    0.0001125    37
0.0039375    0.0001125    37
0.003975    0.0001125    37
0.0040125    0.0001125    37
0.00405    0.0001125    37
0.0040875    0.0001125    37
0.004125    0.0001125    37
0.0041625    0.0001125    37
0.0042    0.0001125    37
0.0042375    0.0001125    37
0.004275    0.0001125    37
0.0043125    0.0001125    37
0.00435    0.0001125    37
0.0043875    0.0001125    37
0.004425    0.0001125    37
0.0044625    0.0001125    37
0.0045    0.0001125    37

0    0.00015    218.829
3.75e-05    0.00015    218.829
7.5e-05    0.00015    218.829
0.0001125    0.00015    218.829
0.00015    0.00015    218.829
0.0001875    0.00015    218.829
0.000225    0.00015    218.829
0.0002625    0.00015    218.829
0.0003    0.00015    218.829
0.0003375    0.00015    218.829
0.000375    0.00015    218.829
0.0004125    0.00015    218.829
0.00045    0.00015    218.829
0.0004875    0.00015    218.829
0.000525    0.00015    218.829
0.0005625    0.00015    218.829
0.0006    0.00015    218.829
0.0006375    0.00015    218.829
0.000675    0.00015    218.829
0.0007125    0.00015    218.829
0.00075    0.00015    218.829
0.0007875    0.00015    218.829
0.000825    0.00015    218.829
0.0008625    0.00015    218.829
0.0009    0.00015    218.829
0.0009375    0.00015    218.829
0.000975    0.00015    218.829
0.0010125    0.00015    218.828
0.00105    0.00015    218.827
0.0010875    0.00015    218.824
0.001125    0.00015    218.81
0.0011625    0.00015    218.767
0.0012    0.00015    218.644
0.0012375    0.00015    218.327
