#promien     #dlugosc     #T
0    0    37.0254
1.4e-05    0    37.0254
2.8e-05    0    37.0254
4.2e-05    0    37.0254
5.6e-05    0    37.0254
7e-05    0    37.0225
8.4e-05    0    37.0202
9.8e-05    0    37.0183
0.000112    0    37.0166
0.000126    0    37.0152
0.00014    0    37.014
0.000154    0    37.0129
0.000168    0    37.012
0.000182    0    37.0111
0.000196    0    37.0103
0.00021    0    37.0096
0.000224    0    37.009
0.000238    0    37.0084
0.000252    0    37.0079
0.000266    0    37.0075
0.00028    0    37.0071
0.000294    0    37.0067
0.000308    0    37.0063
0.000322    0    37.006
0.000336    0    37.0057
0.00035    0    37.0055
0.000364    0    37.0052
0.000378    0    37.005
0.000392    0    37.0049
0.000406    0    37.0047
0.00042    0    37.0045
0.000434    0    37.0044
0.000448    0    37.0043
0.000462    0    37.0042
0.000476    0    37.0041
0.00049    0    37.0041
0.000504    0    37.004
0.000518    0    37.004
0.000532    0    37.004
0.000546    0    37.0039
0.00056    0    37.0039

0    1.4e-05    37.0254
1.4e-05    1.4e-05    37.0254
2.8e-05    1.4e-05    37.0254
4.2e-05    1.4e-05    37.0254
5.6e-05    1.4e-05    37.0254
7e-05    1.4e-05    37.0225
8.4e-05    1.4e-05    37.0202
9.8e-05    1.4e-05    37.0183
0.000112    1.4e-05    37.0166
0.000126    1.4e-05    37.0152
0.00014    1.4e-05    37.014
0.000154    1.4e-05    37.0129
0.000168    1.4e-05    37.012
0.000182    1.4e-05    37.0111
0.000196    1.4e-05    37.0103
0.00021    1.4e-05    37.0096
0.000224    1.4e-05    37.009
0.000238    1.4e-05    37.0084
0.000252    1.4e-05    37.0079
0.000266    1.4e-05    37.0075
0.00028    1.4e-05    37.0071
0.000294    1.4e-05    37.0067
0.000308    1.4e-05    37.0063
0.000322    1.4e-05    37.006
0.000336    1.4e-05    37.0057
0.00035    1.4e-05    37.0055
0.000364    1.4e-05    37.0052
0.000378    1.4e-05    37.005
0.000392    1.4e-05    37.0049
0.000406    1.4e-05    37.0047
0.00042    1.4e-05    37.0045
0.000434    1.4e-05    37.0044
0.000448    1.4e-05    37.0043
0.000462    1.4e-05    37.0042
0.000476    1.4e-05    37.0041
0.00049    1.4e-05    37.0041
0.000504    1.4e-05    37.004
0.000518    1.4e-05    37.004
0.000532    1.4e-05    37.004
0.000546    1.4e-05    37.0039
0.00056    1.4e-05    37.0039

0    2.8e-05    37.0253
1.4e-05    2.8e-05    37.0253
2.8e-05    2.8e-05    37.0253
4.2e-05    2.8e-05    37.0253
5.6e-05    2.8e-05    37.0253
7e-05    2.8e-05    37.0224
8.4e-05    2.8e-05    37.0201
9.8e-05    2.8e-05    37.0182
0.000112    2.8e-05    37.0166
0.000126    2.8e-05    37.0152
0.00014    2.8e-05    37.014
0.000154    2.8e-05    37.0129
0.000168    2.8e-05    37.0119
0.000182    2.8e-05    37.0111
0.000196    2.8e-05    37.0103
0.00021    2.8e-05    37.0096
0.000224    2.8e-05    37.009
0.000238    2.8e-05    37.0084
0.000252    2.8e-05    37.0079
0.000266    2.8e-05    37.0075
0.00028    2.8e-05    37.007
0.000294    2.8e-05    37.0067
0.000308    2.8e-05    37.0063
0.000322    2.8e-05    37.006
0.000336    2.8e-05    37.0057
0.00035    2.8e-05    37.0055
0.000364    2.8e-05    37.0052
0.000378    2.8e-05    37.005
0.000392    2.8e-05    37.0048
0.000406    2.8e-05    37.0047
0.00042    2.8e-05    37.0045
0.000434    2.8e-05    37.0044
0.000448    2.8e-05    37.0043
0.000462    2.8e-05    37.0042
0.000476    2.8e-05    37.0041
0.00049    2.8e-05    37.0041
0.000504    2.8e-05    37.004
0.000518    2.8e-05    37.004
0.000532    2.8e-05    37.004
0.000546    2.8e-05    37.0039
0.00056    2.8e-05    37.0039

0    4.2e-05    37.0252
1.4e-05    4.2e-05    37.0252
2.8e-05    4.2e-05    37.0252
4.2e-05    4.2e-05    37.0252
5.6e-05    4.2e-05    37.0252
7e-05    4.2e-05    37.0224
8.4e-05    4.2e-05    37.0201
9.8e-05    4.2e-05    37.0182
0.000112    4.2e-05    37.0166
0.000126    4.2e-05    37.0152
0.00014    4.2e-05    37.014
0.000154    4.2e-05    37.0129
0.000168    4.2e-05    37.0119
0.000182    4.2e-05    37.0111
0.000196    4.2e-05    37.0103
0.00021    4.2e-05    37.0096
0.000224    4.2e-05    37.009
0.000238    4.2e-05    37.0084
0.000252    4.2e-05    37.0079
0.000266    4.2e-05    37.0074
0.00028    4.2e-05    37.007
0.000294    4.2e-05    37.0066
0.000308    4.2e-05    37.0063
0.000322    4.2e-05    37.006
0.000336    4.2e-05    37.0057
0.00035    4.2e-05    37.0055
0.000364    4.2e-05    37.0052
0.000378    4.2e-05    37.005
0.000392    4.2e-05    37.0048
0.000406    4.2e-05    37.0047
0.00042    4.2e-05    37.0045
0.000434    4.2e-05    37.0044
0.000448    4.2e-05    37.0043
0.000462    4.2e-05    37.0042
0.000476    4.2e-05    37.0041
0.00049    4.2e-05    37.0041
0.000504    4.2e-05    37.004
0.000518    4.2e-05    37.004
0.000532    4.2e-05    37.0039
0.000546    4.2e-05    37.0039
0.00056    4.2e-05    37.0039

0    5.6e-05    37.0252
1.4e-05    5.6e-05    37.0252
2.8e-05    5.6e-05    37.0252
4.2e-05    5.6e-05    37.0252
5.6e-05    5.6e-05    37.0252
7e-05    5.6e-05    37.0223
8.4e-05    5.6e-05    37.0201
9.8e-05    5.6e-05    37.0182
0.000112    5.6e-05    37.0165
0.000126    5.6e-05    37.0151
0.00014    5.6e-05    37.0139
0.000154    5.6e-05    37.0128
0.000168    5.6e-05    37.0119
0.000182    5.6e-05    37.011
0.000196    5.6e-05    37.0103
0.00021    5.6e-05    37.0096
0.000224    5.6e-05    37.0089
0.000238    5.6e-05    37.0084
0.000252    5.6e-05    37.0079
0.000266    5.6e-05    37.0074
0.00028    5.6e-05    37.007
0.000294    5.6e-05    37.0066
0.000308    5.6e-05    37.0063
0.000322    5.6e-05    37.006
0.000336    5.6e-05    37.0057
0.00035    5.6e-05    37.0054
0.000364    5.6e-05    37.0052
0.000378    5.6e-05    37.005
0.000392    5.6e-05    37.0048
0.000406    5.6e-05    37.0047
0.00042    5.6e-05    37.0045
0.000434    5.6e-05    37.0044
0.000448    5.6e-05    37.0043
0.000462    5.6e-05    37.0042
0.000476    5.6e-05    37.0041
0.00049    5.6e-05    37.004
0.000504    5.6e-05    37.004
0.000518    5.6e-05    37.004
0.000532    5.6e-05    37.0039
0.000546    5.6e-05    37.0039
0.00056    5.6e-05    37.0039

0    7e-05    37.0251
1.4e-05    7e-05    37.0251
2.8e-05    7e-05    37.0251
4.2e-05    7e-05    37.0251
5.6e-05    7e-05    37.0251
7e-05    7e-05    37.0223
8.4e-05    7e-05    37.02
9.8e-05    7e-05    37.0181
0.000112    7e-05    37.0165
0.000126    7e-05    37.0151
0.00014    7e-05    37.0139
0.000154    7e-05    37.0128
0.000168    7e-05    37.0118
0.000182    7e-05    37.011
0.000196    7e-05    37.0102
0.00021    7e-05    37.0095
0.000224    7e-05    37.0089
0.000238    7e-05    37.0083
0.000252    7e-05    37.0078
0.000266    7e-05    37.0074
0.00028    7e-05    37.007
0.000294    7e-05    37.0066
0.000308    7e-05    37.0062
0.000322    7e-05    37.0059
0.000336    7e-05    37.0057
0.00035    7e-05    37.0054
0.000364    7e-05    37.0052
0.000378    7e-05    37.005
0.000392    7e-05    37.0048
0.000406    7e-05    37.0046
0.00042    7e-05    37.0045
0.000434    7e-05    37.0044
0.000448    7e-05    37.0043
0.000462    7e-05    37.0042
0.000476    7e-05    37.0041
0.00049    7e-05    37.004
0.000504    7e-05    37.004
0.000518    7e-05    37.0039
0.000532    7e-05    37.0039
0.000546    7e-05    37.0039
0.00056    7e-05    37.0039

0    8.4e-05    37.025
1.4e-05    8.4e-05    37.025
2.8e-05    8.4e-05    37.025
4.2e-05    8.4e-05    37.025
5.6e-05    8.4e-05    37.025
7e-05    8.4e-05    37.0222
8.4e-05    8.4e-05    37.0199
9.8e-05    8.4e-05    37.018
0.000112    8.4e-05    37.0164
0.000126    8.4e-05    37.015
0.00014    8.4e-05    37.0138
0.000154    8.4e-05    37.0127
0.000168    8.4e-05    37.0118
0.000182    8.4e-05    37.0109
0.000196    8.4e-05    37.0101
0.00021    8.4e-05    37.0095
0.000224    8.4e-05    37.0088
0.000238    8.4e-05    37.0083
0.000252    8.4e-05    37.0078
0.000266    8.4e-05    37.0073
0.00028    8.4e-05    37.0069
0.000294    8.4e-05    37.0065
0.000308    8.4e-05    37.0062
0.000322    8.4e-05    37.0059
0.000336    8.4e-05    37.0056
0.00035    8.4e-05    37.0054
0.000364    8.4e-05    37.0051
0.000378    8.4e-05    37.0049
0.000392    8.4e-05    37.0048
0.000406    8.4e-05    37.0046
0.00042    8.4e-05    37.0045
0.000434    8.4e-05    37.0043
0.000448    8.4e-05    37.0042
0.000462    8.4e-05    37.0041
0.000476    8.4e-05    37.0041
0.00049    8.4e-05    37.004
0.000504    8.4e-05    37.004
